country,activity,attackdate,victim,group
,Healthcare,2025-10-21 18:19:58.044000,Prime Dental,sinobi
US,Not Found,2025-10-21 18:28:34.432000,Crave Management,sinobi
CA,Technology,2025-10-21 18:37:18.339604,Peraso,rhysida
,Technology,2025-10-10 00:00:00.000000,Microdevice,beast
US,Manufacturing,2025-10-21 00:00:00.000000,Pacific West SystemsSupply,akira
US,Not Found,2024-05-07 08:55:00.000000,Southern Specialty and Supply,genesis
US,Not Found,2025-09-10 00:00:00.000000,Roth & Scholl,genesis
US,Healthcare,2025-09-25 00:00:00.000000,River City Eye,genesis
US,Financial Services,2025-10-02 00:00:00.000000,Austin Capital Trust,genesis
US,Consumer Services,2025-10-09 00:00:00.000000,Healthy Living Market and Café,genesis
US,Healthcare,2025-10-13 00:00:00.000000,Claimlinx,genesis
US,Not Found,2025-10-16 09:24:09.600314,Ronemus & Vilensky,genesis
US,Manufacturing,2025-10-13 00:00:00.000000,Dependable Plastic,genesis
US,Technology,2025-10-13 00:00:00.000000,I-Tek Medical Technologies,genesis
US,Not Found,2025-10-21 12:42:09.231000,marquscompanies.com,lynx
US,Manufacturing,2025-10-20,U.S. Vanadium Holding Company LLC,crypto24
,Business Services,2025-10-20 00:00:00.000000,Mailing.com,akira
,Not Found,2025-10-21 00:00:00.000000,Nvno,akira
,Not Found,2025-10-21 09:43:41.159962,BRDSoft,nova
US,Energy,2025-10-21 08:22:35.211000,trailridgeenergy,lynx
US,Public Sector,2025-10-21 08:29:01.268000,www.dekalbcountyga.gov,lynx
,Construction,2025-10-17 20:00:58.024000,McDonald Building,sinobi
US,Education,2025-10-21 06:02:36.769000,www.ccls.org,lynx
US,Healthcare,2025-10-20 20:44:34.681000,Greater Mental Health of New York,sinobi
US,Consumer Services,2025-10-20 19:54:25.533000,Tryon Distributing,sinobi
ES,Not Found,2025-10-20 19:59:05.201000,Grupo JSA,sinobi
,Telecommunication,2025-10-20 20:02:36.883000,MSC-Wireless,sinobi
US,Healthcare,2025-10-20 18:43:07.894000,South Atlanta Medical Clinic,sinobi
US,Not Found,2025-10-20 18:47:32.697000,Harmony Brands,sinobi
US,Healthcare,2025-10-20 18:40:24.260000,Phoenix Village Dental,sinobi
